RULE,RISK_POINT_NUM
Reentrancy_Issue,7
IntegerOverflow_Issue,5
DelegateCall_Issue_Arbitrary,6
DelegateCall_Issue_Privilege,1
FrozenMoney_Issue,1
ReturnStopInAssembly_Issue_ModifierInterrupt,2
ExceedAuth_Issue,4
RTLO_Issue,3
Unauthenticated_Issue,6
WeakRand_Issue,7
TxOrigin_Issue,2
CallConfirm_Issue,7
InheritanceAmbiguity_Issue,1
ThisBalance_Issue,4
VarTypeDeduction_Issue,1
ControlledArrayLength_Issue,4
UninitializedVariable_Issue,11
ShadowVariable_Issue_State,3
ShadowVariable_Issue_Local,4
ShadowBuiltinAndKeywords_Issue_Builtin,11
ShadowBuiltinAndKeywords_Issue_Keywords,7
DivBeforeMul_Issue,4
FunctionCallWithinContractIncorrect_Issue_NonReentrancy,2
DelegateCallInLoop_Issue,4
MsgValueInLoop_Issue,5
IncorrectEIP712SignatureEncode_Issue,1
IncorrectShiftInAssembly_Issue,5
ThisCall_Issue,4
ERC20_Standard_Issue_Func,3
ERC20_Standard_Issue_Event,3
ERC20_Standard_Issue_AlwaysReturnFalse,3
ERC20_Standard_Issue_ShouldTransfer,2
ERC20_Standard_Issue_FakeDeposit,4
ERC20_Standard_Issue_ShouldApproval,1
ERC721_Standard_Issue_Func,9
ERC721_Standard_Issue_Event,3
ERC777_Standard_Issue_Func,13
ERC777_Standard_Issue_Event,5
SolcVersion_Issue,2
LOC_Issue,1
CallInsteadOfSendOrTransfer_Issue,3
NoneInfomationRevert_Issue,4
UserDefinedReferenceVarLocation_Issue,5
Outdated_SolcVersion_Issue,1
Import_Issue,1
FunctionVisibility_Issue,2
FunctionVisibility_Issue_FallbackAndInterface,3
FunctionVisibility_Issue_Constructor,2
DelegateCallInsteadOfCallCode_Issue,1
HexPrefix_Issue,4
NeverCalledFunction_Issue_Public,2
ConstructorValidation_Issue,1
ArrayLengthManipulation_Issue,2
RandomAccessToEnum_Issue,1
No_SolcVersion_Issue,1
StateVariablesChangeInViewFunction_Issue,10
EmitEvent_Issue,1
IfCondWithBool_Issue,5
IncorrectUnary_Issue,3
IncorrectModifier_Issue,7
Msgvalue_Issue,1
WriteStateInAssert_Issue,3
WriteStateInModifier_Issue,3
ABIEncodePacked_Issue,2
SafeMath_Issue,29
ReturnStopInAssembly_Issue,5
ReentrancyGuardInNonExternalFunc_Issue,7
TooManyDigits_Issue,5
InterfaceDefinedNotInherited_Issue,3
RevertInsteadOfRequireFalse_Issue,1
CriticalStateVariableMissingEvent_Issue,6
SignatureReplay_Issue,6
NoCheckAddressParams_Issue,3
OrderOfLayout_Issue,4
EmptyFunctionBody_Issue,2
SpecifyMultipleCompilerVersions_Issue,1
UseObsoleteSyntax_Issue,9
SmallerType_Issue,7
BytesInsteadOfByteArr_Issue,1
Return_Issue_Improve,5
Return_Issue_Clarify,8
ReturnCheck_Issue,9
Tautology_Issue,5
UnusedImport_Issue,1
UnusedFunctionParameter_Issue,3
NeverCalledFunction_Issue_Internal,1
NoStateVariablesChangeInFunction_Issue,4
Calldata_Issue,3
UninitializedVariable_Issue_Unused,2
DuplicateCode_Issue,1
DeleteStructContainsMapping_Issue,6
SafeMathUsage_Issue,1
NoChangedVariables_Issue,3
PreIncrementInsteadOfPostIncrement_Issue,2
GetBalanceInAssembly_Issue,16
CheaperAssignment_Issue,4
LongRevertString_Issue,2
UsePrivateConstant_Issue,3
UseCustomError_Issue,2
UseShiftInsteadOfMulDiv_Issue,2
CacheStateVariables_Issue,5
UnsignedComparison_Issue,3
CheckZeroAddressInAssembly_Issue,7
ContinuousStateWrite_Issue,7
DoWhileContinue_Issue,2
OverridePrivateFunctionInParentContract_Issue,2
DelegateCallReturnValue_Issue,3
EventStructWrongData_Issue,1
IncorrectEventSignature_Issue,1
SkipEmptyStringLiteral_Issue,13
ExpExponentCleanup_Issue,1
NestedArrayFunctionCall_Issue,1
DynamicConstructorArgumentsClippedABIV2_Issue,2
ABIEncoderV2StorageArrayWithMultiSlotElement_Issue,3
SignedArrayStorageCopy_Issue,2
MultipleConstructors_Issue,1
UninitializedFunctionPointerInConstructor_Issue,2
NestedStructInPublicMap_Issue,1
VariableCanBeImmutable_Issue,2